"Model","Identifier","Name","Size","Country","Currency","Sector","Average","Factor 1","Factor 2","Factor 3","Factor 4","Factor 5","Factor 6","Factor 7","Factor 8","Factor 9","Factor 10","Factor 11","Factor 12","Factor 13","Factor 14","Factor 15","Factor 16","Factor 17","Factor 18","Factor 19","Factor 20","Residual Variance"
"Uk","GB0005405286","HSBC Holdings",159064400000.00,"UNITED KINGDOM","GBP","Finance",2.59864382421854e-03,0.01,-4.811079e-03,-8.858601e-03,3.640757e-03,-3.856328e-03,2.227872e-03,5.638117e-03,-1.366174e-03,4.843334e-03,-1.928921e-03,7.117379e-04,-1.06771e-03,1.1145e-03,-1.937143e-04,4.964654e-03,4.824355e-04,4.974795e-04,-1.502967e-04,-6.400675e-04,1.231837e-03,2.401671e-04
"Uk","GB0009895292","AstraZeneca",128267200000.00,"UNITED KINGDOM","GBP","Health Technology",3.62574085328432e-03,4.372044e-03,-0.01,4.093086e-03,-0.01,3.121931e-04,-2.74048e-04,9.820035e-04,4.939898e-03,1.721044e-03,3.685906e-03,2.693145e-03,-3.773449e-03,3.053064e-03,-9.393981e-04,-1.646275e-03,-1.219678e-03,-1.294519e-03,3.291948e-03,-5.523494e-04,1.499494e-03,6.884622e-04
"Uk","GB0007980591","BP",126853300000.00,"UNITED KINGDOM","GBP","Energy Minerals",2.74633091218331e-03,0.01,-0.01,-0.01,-2.166661e-03,-3.676053e-03,4.542073e-03,3.20269e-03,5.387183e-03,-2.937475e-03,1.538011e-03,-4.757262e-03,2.020342e-03,-2.017301e-03,5.063961e-03,-2.506902e-03,-2.250129e-03,-3.420041e-03,3.029096e-04,-4.218491e-04,5.230367e-04,2.528479e-04
"Uk","GB00B03MLX29","Royal Dutch Shell A",122044000000.00,"UNITED KINGDOM","GBP","Energy Minerals",2.8473880278767e-03,0.01,-0.01,-0.01,-1.25016e-03,-3.257772e-03,5.667977e-03,3.109988e-03,5.531512e-03,-2.023887e-03,1.487263e-03,-5.168713e-03,1.860072e-03,-1.578461e-03,6.00529e-03,-2.37472e-03,-2.674401e-03,-4.215871e-03,1.681268e-03,3.759196e-04,6.798506e-04,1.875444e-04
"Uk","GB0009252882","GlaxoSmithKline",117022600000.00,"UNITED KINGDOM","GBP","Health Technology",2.27718281088682e-03,5.056006e-03,-0.01,9.259094e-04,-0.01,-3.17352e-04,2.804054e-03,-7.800229e-04,3.193137e-03,2.608695e-03,1.980729e-03,1.344065e-03,6.738873e-04,2.623545e-04,-3.071478e-03,-9.598316e-04,-1.850785e-03,7.807004e-04,1.650753e-03,1.164186e-03,3.838202e-05,2.721022e-04
"Uk","GB00B03MM408","Royal Dutch Shell B",109607800000.00,"UNITED KINGDOM","GBP","Energy Minerals",2.8607213453905e-03,0.01,-0.01,-0.01,-1.118811e-03,-3.441143e-03,5.865402e-03,3.076335e-03,6.057997e-03,-1.671757e-03,9.785339e-04,-5.227522e-03,2.040413e-03,-1.111129e-03,5.699311e-03,-2.082014e-03,-2.522214e-03,-4.271834e-03,1.996e-03,5.327117e-04,1.007514e-03,2.141801e-04
"Uk","GB0002875804","British American Tobacco",97115390000.00,"UNITED KINGDOM","GBP","Consumer Non-Durables",3.20395301766133e-05,8.7892e-03,-0.01,1.098169e-03,-7.698056e-03,-1.913133e-03,5.607109e-03,-1.14361e-03,-7.789723e-04,-4.660022e-04,-1.580767e-03,-9.555529e-04,1.710284e-03,-2.055232e-04,-7.244545e-04,-6.386969e-04,-1.580741e-03,-3.343298e-03,-2.341197e-03,-5.806795e-04,-1.271151e-03,8.888429e-04
"Uk","GB0002374006","Diageo",96332540000.00,"UNITED KINGDOM","GBP","Consumer Non-Durables",3.21599334957549e-03,5.787244e-03,-0.01,2.705468e-03,-8.765982e-03,-5.985653e-04,2.172248e-03,-1.980194e-03,2.868035e-03,4.638674e-03,2.259627e-03,-1.361528e-03,4.940485e-04,1.152698e-03,-6.522014e-04,-1.37042e-03,1.997725e-03,-4.488215e-04,-4.895646e-04,6.773193e-04,3.771435e-03,1.74599e-04
"Uk","GB0007188757","Rio Tinto",73294000000.00,"UNITED KINGDOM","GBP","Non-Energy Minerals",5.51972874539365e-03,0.01,-0.01,-0.02,8.394634e-03,5.751809e-04,-4.980231e-03,-6.081517e-03,6.543804e-03,2.522836e-04,6.508229e-03,5.923291e-03,1.25112e-03,7.836336e-03,-2.063103e-03,-1.427903e-03,-4.835993e-04,-2.009729e-03,7.029645e-04,4.361894e-03,2.488324e-03,3.620478e-04
"Uk","GB00B10RZP78","Unilever",65303430000.00,"UNITED KINGDOM","GBP","Consumer Non-Durables",2.2890911361869e-03,3.25859e-03,-0.01,2.467564e-03,-0.01,1.148322e-03,1.938272e-03,-2.385607e-03,3.014605e-03,4.203327e-03,1.320098e-03,1.151221e-04,1.608612e-03,-2.729933e-03,-3.940666e-03,-4.316546e-03,1.850003e-03,-3.945701e-03,-1.252859e-03,1.325768e-03,-4.48446e-05,3.077996e-04
"Uk","GB0008706128","Lloyds Banking Group",58009120000.00,"UNITED KINGDOM","GBP","Finance",1.02459429692224e-03,0.02,0.02,-7.067805e-03,3.565474e-03,2.803817e-04,2.7582e-03,5.848283e-03,-7.273949e-03,2.54709e-03,1.558983e-03,3.212564e-03,-4.28214e-03,1.778623e-04,8.694184e-04,-2.084218e-03,3.424749e-03,-1.342177e-03,3.404718e-03,1.324242e-03,-1.513197e-03,4.271238e-04
"Uk","GB00B24CGK77","Reckitt Benckiser Group",55737690000.00,"UNITED KINGDOM","GBP","Consumer Non-Durables",9.68604530930989e-05,4.138682e-03,-9.241956e-03,1.963852e-03,-8.888111e-03,1.128326e-04,2.734479e-03,-3.312987e-03,1.948405e-03,2.086587e-03,1.679223e-03,7.174523e-04,2.273908e-03,-2.109481e-03,-4.090363e-03,-4.078738e-03,-2.257512e-03,-4.103817e-03,2.55328e-03,3.00089e-03,2.007278e-03,4.278721e-04
"Uk","GB00BH4HKS39","Vodafone Group",52663220000.00,"UNITED KINGDOM","GBP","Communications",-6.3138115089151e-04,0.01,-6.858474e-03,4.597046e-05,-7.021268e-03,-1.240977e-04,1.59217e-03,1.006237e-03,-2.021076e-03,5.435635e-03,-1.912965e-03,-1.796064e-03,-5.33409e-03,-4.851712e-04,-2.574292e-03,3.382632e-04,2.241156e-04,-9.877477e-04,4.881721e-03,-4.464715e-03,-1.553786e-03,6.244745e-04
"Uk","GB00BH0P3Z91","BHP Group",49626150000.00,"UNITED KINGDOM","GBP","Non-Energy Minerals",5.58020426498764e-03,0.02,-0.01,-0.02,8.834274e-03,1.110999e-03,-2.70521e-03,-6.310112e-03,8.592889e-03,-4.595139e-05,7.921344e-03,2.514933e-03,8.738506e-04,6.284887e-03,-3.227013e-03,-1.269567e-03,-1.738891e-03,-3.063455e-03,-6.875185e-04,1.329551e-03,3.690346e-04,3.703199e-04
"Uk","GB0007099541","Prudential",49210370000.00,"UNITED KINGDOM","GBP","Finance",2.14942826653816e-03,0.02,3.650998e-03,-9.646256e-03,5.094341e-03,-2.345562e-03,3.862638e-03,9.326859e-03,-1.075959e-03,4.427756e-03,-4.69617e-03,2.802619e-03,7.170985e-04,3.329855e-03,-5.797348e-03,3.098173e-04,1.537301e-03,4.542365e-04,-1.356904e-03,-9.211997e-04,2.677533e-03,3.572565e-04
"Uk","GB00B2B0DG97","RELX",47988930000.00,"UNITED KINGDOM","GBP","Commercial Services",2.75494426879454e-03,8.272727e-03,-0.01,4.520678e-03,-9.328409e-03,1.71335e-03,-2.414771e-04,1.068964e-03,3.892663e-03,1.660915e-03,-4.47691e-04,-1.812936e-03,3.608707e-04,5.745377e-04,-2.162564e-03,2.894377e-04,2.371673e-03,-3.379107e-04,-1.729911e-03,1.522658e-03,3.158996e-03,1.99267e-04
"Uk","GB00BDR05C01","National Grid",43189900000.00,"UNITED KINGDOM","GBP","Utilities",9.68912661173915e-04,3.720002e-03,-5.444654e-03,4.49735e-04,-0.01,-7.189892e-05,6.490896e-03,-6.754639e-03,-1.16133e-03,-3.509273e-03,-3.222648e-04,-5.845382e-04,-4.584849e-04,1.504034e-03,-1.104051e-03,-2.878546e-04,2.187198e-03,-1.820992e-03,-2.384315e-03,4.877274e-04,-1.532032e-03,1.715321e-04
"Uk","GB0031348658","Barclays",41895750000.00,"UNITED KINGDOM","GBP","Finance",1.01168476463007e-03,0.02,0.01,-9.092489e-03,5.677359e-03,-8.045536e-03,2.471107e-03,3.466848e-03,-6.195053e-03,7.329466e-03,1.755662e-03,5.961058e-04,2.092497e-03,1.328213e-03,2.721477e-03,1.781221e-03,5.757601e-03,-6.7766e-04,2.706755e-03,-1.183883e-03,-3.13629e-04,5.493872e-04
"Uk","JE00B4T3BW64","Glencore",40788760000.00,"UNITED KINGDOM","GBP","Non-Energy Minerals",3.92086932048254e-03,0.02,-0.01,-0.02,0.01,-9.373044e-04,-0.01,-5.872085e-03,9.789681e-04,-1.035511e-04,2.640073e-03,7.793485e-04,2.257182e-04,6.586592e-03,-5.837449e-03,-9.92427e-04,4.762227e-04,-6.57559e-04,-2.774422e-03,2.958671e-03,6.867046e-04,6.938138e-04
"Uk","GB00B7T77214","Royal Bank of Scotland Group",39314350000.00,"UNITED KINGDOM","GBP","Finance",4.30436591899086e-04,0.02,0.02,-9.418133e-03,0.01,-3.072946e-03,6.430069e-03,5.286908e-03,-3.987613e-03,5.229106e-03,1.277535e-03,7.232936e-04,6.772348e-04,1.667685e-03,3.802223e-04,-1.91157e-03,7.651032e-03,8.731578e-04,2.009705e-03,-3.447455e-03,-4.724336e-03,8.326034e-04
"Uk","GB00BD6K4575","Compass Group",38920540000.00,"UNITED KINGDOM","GBP","Consumer Services",2.47630006866864e-03,6.820291e-03,-0.01,3.159313e-03,-8.933631e-03,2.042494e-03,1.034943e-03,3.048183e-03,4.65007e-03,1.626147e-03,3.409753e-03,-5.470196e-05,-1.530038e-03,5.729478e-04,9.894317e-04,1.132011e-04,-2.137467e-03,1.485386e-03,5.485101e-04,2.04351e-03,7.541648e-04,2.95751e-04
"Uk","GB00B1XZS820","Anglo American Plc",38903690000.00,"UNITED KINGDOM","GBP","Non-Energy Minerals",8.24918958840433e-03,0.02,-0.01,-0.03,0.01,4.092254e-03,-5.916916e-03,-0.01,4.013893e-03,1.18646e-03,5.725972e-03,9.603845e-03,-5.007136e-03,8.165387e-03,-3.190251e-03,-2.965742e-03,-3.014805e-04,-3.039445e-03,-1.894075e-03,3.86617e-03,8.267769e-04,6.87569e-04
"Uk","GB00B0SWJX34","London Stock Exch Grp",33847290000.00,"UNITED KINGDOM","GBP","Finance",5.93719316175542e-03,0.01,2.801667e-05,3.723695e-03,-2.660347e-03,-1.101215e-04,-2.719163e-03,6.791094e-03,2.846507e-03,5.996738e-03,3.057872e-03,1.011811e-03,-3.877625e-03,1.813108e-03,3.452287e-03,1.601821e-03,4.444836e-03,1.579284e-03,2.167497e-03,-9.505471e-04,-5.924237e-04,5.25572e-04
"Uk","GB0008847096","Tesco",32220320000.00,"UNITED KINGDOM","GBP","Retail Trade",1.72718950081516e-03,0.01,3.632127e-03,-6.670576e-03,-7.843297e-04,1.195693e-03,5.543042e-03,3.267648e-03,-5.208685e-03,-7.164909e-03,2.429626e-04,-2.692251e-03,-1.69872e-03,2.012303e-03,-1.463163e-03,-2.193882e-03,2.194606e-03,-2.243927e-03,-2.120434e-03,2.441193e-03,4.058872e-03,8.189984e-04
"Uk","IE0001827041","CRH",31437670000.00,"UNITED KINGDOM","GBP","Non-Energy Minerals",3.1118462909842e-03,0.01,-5.86997e-03,-4.87384e-03,-1.518887e-03,-1.030154e-03,-3.139574e-03,6.265062e-03,4.297031e-03,-2.667318e-03,-2.549854e-03,-2.004843e-03,1.376485e-03,-1.41583e-03,-2.651453e-04,1.366984e-03,-1.3139e-04,4.065674e-03,5.540135e-04,-3.004963e-03,-2.146607e-03,4.235571e-04
"Uk","GB0004082847","Standard Chartered",30623050000.00,"UNITED KINGDOM","GBP","Finance",2.67528452966948e-03,0.02,-4.697977e-03,-0.01,5.066461e-03,-4.720515e-03,3.139963e-04,4.033126e-03,9.042827e-04,7.220996e-03,-1.48692e-03,3.306445e-03,-1.036581e-03,4.932995e-04,2.790496e-04,3.960872e-03,1.135968e-03,-1.526358e-03,-2.829092e-04,-6.305261e-03,-3.197906e-03,6.156593e-04
"Uk","GB00B19NLV48","Experian",30082130000.00,"UNITED KINGDOM","GBP","Commercial Services",4.26682953151447e-03,0.01,-9.408593e-03,3.987044e-03,-6.984551e-03,-1.874999e-03,-2.059464e-03,3.49908e-04,5.635711e-03,9.279599e-04,1.62251e-03,-2.758697e-03,4.090263e-04,-1.0187e-03,1.663955e-03,1.018862e-03,2.314378e-03,8.932375e-05,-1.0877e-03,5.850591e-04,2.917375e-03,2.464505e-04
"Uk","GB0006731235","Associated British Foods",26542550000.00,"UNITED KINGDOM","GBP","Consumer Non-Durables",-8.64005140775606e-04,0.01,3.919404e-03,1.064418e-03,-4.766629e-03,2.657397e-03,1.922719e-03,-3.791683e-03,1.261251e-03,-2.383598e-03,-6.976444e-04,-7.039783e-04,-7.793254e-03,2.969238e-04,-2.64615e-03,-4.09875e-03,1.428397e-03,-1.76976e-03,-1.915924e-03,2.616763e-03,2.157421e-03,6.886238e-04
"Uk","GB0030913577","BT Group",26195700000.00,"UNITED KINGDOM","GBP","Communications",-3.04520751257616e-03,0.01,7.016549e-03,-2.340167e-03,-8.435381e-03,8.407154e-04,8.87592e-03,-1.180004e-03,-6.69058e-03,-4.292491e-04,-6.804487e-04,1.703539e-03,-5.459018e-03,-9.678424e-04,-2.094254e-03,-1.905127e-03,1.034239e-03,-3.895179e-03,2.808771e-03,2.202452e-03,-7.554998e-04,8.368725e-04
"Uk","GB0005603997","Legal & General Group",24030740000.00,"UNITED KINGDOM","GBP","Finance",2.74106238912009e-03,0.02,0.01,-6.560676e-03,3.823954e-03,-2.603996e-03,2.869099e-03,4.6245e-03,-3.213093e-03,3.519215e-03,-2.346134e-03,2.997856e-03,2.923725e-04,2.596929e-03,-3.484295e-03,-1.890001e-03,2.754317e-03,-2.809417e-03,-1.854543e-03,1.243327e-03,5.956325e-04,2.209558e-04
"Uk","GB0002634946","BAE Systems",23830230000.00,"UNITED KINGDOM","GBP","Electronic Technology",1.44322107438147e-03,0.01,-2.502316e-03,-9.851912e-04,-2.301214e-03,-5.419957e-03,-2.003448e-03,3.675636e-03,2.139261e-03,-2.347459e-03,-1.707824e-04,-3.409843e-04,5.162535e-04,5.348912e-04,-1.787932e-03,-7.092236e-04,1.789304e-04,6.252896e-03,-2.688082e-03,2.286178e-05,-2.889317e-03,4.830512e-04
"Uk","GB0004544929","Imperial Brands",22479000000.00,"UNITED KINGDOM","GBP","Consumer Non-Durables",-2.38783862096208e-03,7.928443e-03,-7.850343e-03,8.407102e-04,-7.498792e-03,-2.595141e-03,7.162909e-03,-1.800196e-03,-4.013323e-03,-4.002435e-03,-2.932747e-03,-2.271363e-03,1.729835e-03,-9.783333e-04,-2.910835e-03,3.351033e-04,1.270616e-03,-1.423117e-03,-1.34552e-03,4.062646e-03,1.415183e-04,5.798836e-04
"Uk","GB0002162385","Aviva",21735080000.00,"UNITED KINGDOM","GBP","Finance",8.72906258432021e-04,0.02,0.01,-7.808333e-03,3.322926e-03,-2.51999e-03,2.610538e-03,7.243862e-03,-1.553069e-03,3.5602e-03,-5.246765e-03,1.681595e-03,-2.109285e-03,-1.9526e-03,-2.878899e-03,1.225216e-03,2.608805e-03,-2.193011e-03,1.674438e-03,-3.120672e-04,3.826365e-04,2.791586e-04
"Uk","GB0009223206","Smith & Nephew",20702010000.00,"UNITED KINGDOM","GBP","Health Technology",2.67606709492452e-03,6.380468e-03,-8.018269e-03,4.35564e-03,-0.01,-7.782206e-04,6.204674e-04,7.544491e-05,2.643768e-03,-3.85342e-05,4.309746e-03,-1.233929e-03,5.352152e-04,4.8294e-03,4.734111e-03,5.193365e-04,1.030384e-03,-2.782138e-03,-4.315496e-04,-6.233866e-04,9.405094e-04,3.718772e-04
"Uk","JE00BJVNSS43","Ferguson",20290560000.00,"UNITED KINGDOM","GBP","Distribution Services",3.70677215979399e-03,0.01,-2.455916e-03,-1.412675e-03,-2.763466e-03,-3.231868e-03,-5.116798e-03,6.927953e-03,4.626751e-03,-1.696666e-03,-5.591027e-05,5.764037e-04,1.15791e-03,4.626312e-04,-1.182671e-03,-6.502293e-04,2.538247e-03,2.072138e-03,-1.762221e-03,-1.893915e-03,-1.442434e-03,4.474126e-04
"Uk","GB0007908733","SSE",19491100000.00,"UNITED KINGDOM","GBP","Utilities",1.55377915046167e-03,9.82156e-03,1.30522e-03,-2.519151e-03,-7.802675e-03,-3.749458e-03,5.500386e-03,-8.73423e-03,-2.151255e-03,-2.478918e-03,-2.388669e-03,-1.795457e-03,-2.04047e-05,1.567048e-03,-6.748065e-04,-5.566653e-04,3.185046e-03,1.66016e-03,1.875467e-04,3.715784e-04,-3.054101e-03,3.308577e-04
"Uk","GB00B63H8491","Rolls-Royce Holdings",17627650000.00,"UNITED KINGDOM","GBP","Electronic Technology",4.34190716032387e-04,0.01,-9.798188e-03,-4.805043e-03,-2.375884e-03,2.44857e-03,-2.166408e-03,3.549227e-03,-3.972059e-04,-3.9203e-03,-3.824659e-03,1.780583e-03,4.227643e-03,-3.935277e-03,-4.673294e-03,-3.628317e-03,-1.683973e-03,-3.156577e-03,-2.962094e-03,2.290692e-03,-3.265642e-03,9.283273e-04
"Uk","JE00B8KF9B49","WPP",17243290000.00,"UNITED KINGDOM","GBP","Commercial Services",-8.31743047794502e-04,0.01,-5.847523e-03,3.215415e-03,-3.197852e-03,-3.993244e-03,4.580377e-03,1.688012e-04,2.015768e-03,4.138493e-03,3.043424e-03,9.180743e-04,1.206429e-04,-7.504598e-04,-5.611103e-03,1.438135e-03,-2.474532e-03,-8.006225e-04,1.067508e-03,1.631031e-03,3.486303e-04,1.067347e-03
"Uk","ES0177542018","Intl Consolidated Airlines Group",16283360000.00,"UNITED KINGDOM","GBP","Transportation",1.92369628413871e-03,0.02,0.02,7.33419e-04,5.183181e-04,-5.34632e-03,-4.119267e-03,-2.232247e-03,-6.055185e-03,8.212391e-03,-1.309599e-03,-5.292177e-03,-2.606853e-03,2.600441e-03,-2.812681e-03,-2.170364e-04,-1.505345e-03,5.049566e-03,2.331825e-03,-7.519948e-04,-6.723787e-03,8.521334e-04
"Uk","GB00BZ1G4322","Melrose Industries",14942080000.00,"UNITED KINGDOM","GBP","Finance",7.32384606655044e-03,0.02,-0.01,-1.068937e-03,-2.719418e-03,-0.02,-0.01,-4.978279e-03,-6.38551e-03,-4.537218e-03,-8.319134e-03,-1.890668e-04,3.547735e-04,-4.835345e-03,-0.01,2.055947e-03,-1.412534e-03,6.341495e-03,2.370611e-04,4.361692e-05,2.52883e-04,8.983772e-04
"Uk","GB0000536739","Ashtead Group",14411420000.00,"UNITED KINGDOM","GBP","Finance",5.51049586230584e-03,0.02,-4.23301e-03,-2.862953e-03,5.031901e-04,-3.175033e-03,-0.01,6.961682e-03,5.992222e-03,-9.047573e-03,-1.062548e-04,-1.452142e-03,4.988499e-03,6.306222e-04,-2.83667e-04,-6.661423e-04,-1.25825e-03,4.249804e-03,5.730879e-04,-2.292688e-03,-2.249884e-03,6.78607e-04
"Uk","GB00B1YW4409","3i Group Plc",14136850000.00,"UNITED KINGDOM","GBP","Finance",5.5751121457098e-03,0.02,-1.301043e-05,-2.940601e-03,-4.222801e-03,-5.872784e-03,-5.001368e-03,1.67159e-03,2.074946e-03,3.865491e-03,6.882782e-04,-3.01699e-03,-9.269672e-04,2.752366e-03,-2.581475e-03,3.498908e-03,3.248643e-03,-9.93413e-04,1.03635e-03,-9.245583e-04,1.305144e-03,4.203001e-04
"Uk","GB00BMJ6DW54","Informa",13695210000.00,"UNITED KINGDOM","GBP","Consumer Services",2.14472943080373e-03,0.01,-5.387971e-03,2.752695e-03,-8.592179e-03,-2.522974e-05,2.239035e-04,4.34508e-04,1.844161e-04,-1.304479e-03,-8.457687e-04,-9.431322e-05,7.001471e-04,3.408586e-04,-1.636929e-04,2.200543e-03,2.425813e-03,-5.599854e-04,-1.011959e-03,7.990061e-05,4.524766e-03,3.737807e-04
"Uk","GB00B5ZN1N88","SEGRO",12602670000.00,"UNITED KINGDOM","GBP","Finance",4.43371613362718e-03,0.01,6.322937e-03,1.979616e-03,-5.860221e-03,5.756146e-03,-1.074192e-03,-3.6094e-03,5.513794e-04,2.083639e-03,1.010799e-03,2.709561e-03,3.468753e-03,-1.759706e-03,3.447946e-03,-2.442359e-04,1.841086e-03,-5.299685e-04,-8.622739e-04,-9.784472e-05,2.99043e-03,1.865474e-04
"Uk","GB00B1VZ0M25","Hargreaves Lansdown",12542230000.00,"UNITED KINGDOM","GBP","Finance",2.83725047354291e-03,0.02,8.655162e-03,-4.914046e-05,1.32311e-03,-1.904691e-03,-3.31154e-03,7.392752e-03,5.558556e-03,1.827565e-03,-9.037547e-04,-1.545043e-03,2.626975e-03,1.427659e-03,7.023965e-04,3.677407e-03,4.092143e-03,-8.704035e-04,5.696459e-03,-5.109148e-03,4.453557e-03,6.512462e-04
"Uk","GB0032089863","Next",12451260000.00,"UNITED KINGDOM","GBP","Retail Trade",9.38729742632937e-04,0.01,0.01,-8.422628e-04,-2.210938e-03,-2.511082e-03,1.801396e-03,3.544871e-04,2.907091e-03,-0.01,3.184144e-03,1.939189e-03,-7.411014e-03,-2.708256e-03,1.547854e-05,-2.576712e-04,3.0409e-03,-6.545113e-04,-5.646597e-03,1.087443e-03,9.942157e-04,1.271058e-03
"Uk","GB0031638363","Intertek Group",12235500000.00,"UNITED KINGDOM","GBP","Commercial Services",3.80069192072199e-03,0.01,-0.01,4.074223e-03,-3.238122e-03,4.412221e-04,-4.753063e-03,-9.367704e-05,7.202184e-03,-6.365979e-04,-2.628149e-03,-5.019448e-03,3.238673e-03,9.265954e-04,-7.825664e-04,-7.733144e-04,6.425041e-04,1.99056e-03,-1.477697e-03,-7.622621e-04,-2.397902e-04,3.917813e-04
"Uk","CH0198251305","Coca-Cola HBC",12179460000.00,"UNITED KINGDOM","GBP","Consumer Non-Durables",3.76365668444903e-03,9.170036e-03,-0.01,3.827144e-03,-6.722828e-03,8.074751e-04,-2.83633e-03,-1.274465e-03,2.987178e-03,2.587128e-03,-2.4933e-03,-2.00217e-03,1.101687e-03,1.3795e-03,9.178006e-04,-2.591477e-03,4.845952e-03,-1.833749e-04,-3.144317e-03,-2.196603e-03,-7.96508e-04,5.203579e-04
"Uk","GB00BHJYC057","InterContinental Hotels",12134720000.00,"UNITED KINGDOM","GBP","Consumer Services",3.96253399590226e-03,0.01,-6.912102e-03,1.709361e-03,-1.490559e-03,-3.029859e-03,-2.915812e-03,5.37776e-03,2.868489e-03,2.531122e-04,-4.952037e-04,-1.77103e-04,-1.95239e-04,4.701792e-04,-2.076984e-03,3.021738e-03,-5.963054e-04,-1.201755e-03,-5.017694e-04,1.686393e-03,3.638709e-03,2.769541e-04
