"Model","Identifier","Name","Size","Country","Currency","Sector","Average","Factor 1","Factor 2","Factor 3","Factor 4","Factor 5","Factor 6","Factor 7","Factor 8","Factor 9","Factor 10","Factor 11","Factor 12","Factor 13","Factor 14","Factor 15","Factor 16","Factor 17","Factor 18","Factor 19","Factor 20","Residual Variance"
"Uk","GB0000456144","Antofagasta",12087190000.00,"UNITED KINGDOM","GBP","Non-Energy Minerals",3.87628946898608e-03,0.02,-0.01,-0.02,0.01,1.355515e-03,-0.01,-3.476782e-03,4.521612e-03,-5.822852e-03,2.14352e-03,3.985849e-03,3.959417e-04,8.604811e-03,-3.274611e-03,-2.486971e-03,2.13193e-03,6.659283e-03,2.385624e-03,3.673469e-03,1.444183e-03,7.397769e-04
"Uk","GB0031743007","Burberry Group",11664630000.00,"UNITED KINGDOM","GBP","Consumer Non-Durables",3.09884017666487e-03,0.02,-9.724734e-03,-3.936308e-03,-5.921378e-03,1.899917e-03,-5.694529e-03,2.409982e-03,4.669716e-03,6.181479e-04,1.242282e-03,-2.923773e-04,5.075019e-04,4.580855e-04,-1.751036e-03,2.352277e-03,1.795588e-03,-2.810859e-03,-3.740476e-03,4.375342e-03,-1.93247e-03,1.068569e-03
"Uk","GB00B3MBS747","Ocado Group",11421110000.00,"UNITED KINGDOM","GBP","Retail Trade",7.74746760675441e-03,0.02,6.046564e-03,5.083452e-03,-0.01,-9.554254e-04,-9.897101e-03,-3.295044e-03,3.022872e-03,-1.564156e-03,-2.259649e-03,-3.65394e-03,6.537399e-03,-2.318427e-03,1.007473e-03,-3.785146e-03,0.01,-5.267565e-03,0.01,-2.930451e-03,3.971432e-03,4.134095e-03
"Uk","GB0006825383","Persimmon",11097490000.00,"UNITED KINGDOM","GBP","Consumer Durables",2.98870738858374e-03,0.02,0.03,1.945302e-03,-2.777432e-03,1.928704e-03,-7.581339e-03,-3.086e-03,-9.006729e-03,-4.590359e-03,8.857899e-05,-7.534144e-03,-2.116454e-03,2.348687e-03,3.100924e-03,-2.447715e-03,1.743486e-03,-3.237888e-03,2.366046e-03,1.343537e-03,-1.827871e-03,3.90912e-04
"Uk","GB00B1CRLC47","Mondi",10938490000.00,"UNITED KINGDOM","GBP","Process Industries",2.2192099055121e-03,0.02,-6.980148e-03,-5.837437e-03,-1.655296e-03,-7.269013e-04,-8.967663e-03,-2.661532e-04,3.764352e-03,-2.976443e-03,-5.360581e-03,3.012269e-03,5.351522e-03,1.231923e-03,1.795445e-03,2.05125e-03,3.176105e-03,-2.29907e-03,-3.965667e-03,1.488805e-03,-2.751728e-03,4.898137e-04
"Uk","GB00B082RF11","Rentokil Initial",10899440000.00,"UNITED KINGDOM","GBP","Commercial Services",5.46570756010479e-03,0.01,-8.332063e-03,4.021095e-03,-6.84726e-03,-1.179571e-03,-6.145997e-03,1.349693e-03,4.50159e-03,-9.043221e-04,-1.808435e-05,-3.268416e-03,-1.742236e-03,2.076516e-03,-2.356484e-03,2.207438e-03,-1.566727e-03,2.977064e-03,-1.172151e-03,-3.582524e-03,1.433101e-03,4.73005e-04
"Uk","GB00B8C3BL03","Sage Group",10616330000.00,"UNITED KINGDOM","GBP","Technology Services",1.68399444886612e-03,0.01,-6.50563e-03,3.582613e-03,-6.871852e-03,6.263905e-04,-3.050386e-03,1.584655e-03,-6.006872e-04,2.374798e-03,-5.430923e-04,4.378687e-04,7.880324e-04,9.261966e-04,-2.869769e-03,1.104444e-03,7.050647e-04,-1.794743e-03,-6.638022e-03,5.683228e-04,-8.391064e-04,5.619527e-04
"Uk","GB0004052071","Halma",10520170000.00,"UNITED KINGDOM","GBP","Electronic Technology",4.79055799040035e-03,0.01,-8.756705e-03,3.457706e-03,-4.008698e-03,1.393586e-03,-8.080461e-03,1.243381e-03,5.46613e-03,-6.328738e-04,-1.704784e-03,1.522177e-04,1.050472e-03,-2.152199e-04,1.286947e-04,-9.718277e-05,-3.007947e-03,-5.419512e-04,2.51014e-04,2.605395e-03,2.919692e-04,3.07138e-04
"Uk","GB00BYX91H57","JD Sports Fashion",10296480000.00,"UNITED KINGDOM","GBP","Retail Trade",6.66498558024819e-03,0.02,0.01,4.754981e-03,-2.117726e-03,-5.632547e-03,-2.049223e-03,-2.339467e-03,3.229112e-03,-7.053019e-03,-3.927521e-03,-1.512712e-03,6.453707e-05,-5.467482e-03,-1.006136e-03,8.586931e-03,2.485176e-03,-1.165922e-03,-1.437222e-03,-1.274778e-03,-4.34618e-03,1.282886e-03
"Uk","GB00BLDYK618","Scott Mtg Inv Trst",10260430000.00,"UNITED KINGDOM","GBP","Miscellaneous",4.30550278493988e-03,0.01,-0.01,4.674385e-03,-2.984835e-03,9.9947e-04,-6.27035e-03,1.907422e-03,-9.570975e-04,9.538503e-04,1.334935e-03,4.203032e-03,1.910217e-03,1.891154e-03,1.617164e-03,2.004611e-03,2.345152e-03,-2.5211e-03,2.087157e-03,6.811352e-04,-1.835391e-03,1.887162e-04
"Uk","GB00BF8Q6K64","Standard Life Aberdeen",9993628000.00,"UNITED KINGDOM","GBP","Finance",9.89219324851397e-04,0.02,0.01,-9.977076e-03,1.626545e-03,-3.125402e-03,1.648979e-03,4.431662e-03,5.253909e-04,8.007042e-03,-6.409397e-03,-6.246188e-04,1.379217e-03,-4.026367e-03,-2.982762e-03,3.403349e-03,3.553088e-04,-2.362812e-03,2.698866e-03,-1.888425e-03,3.57517e-03,5.035495e-04
"Uk","GB0002405495","Schroders",9973848000.00,"UNITED KINGDOM","GBP","Finance",2.2298302461881e-03,0.02,9.129766e-03,-5.601719e-03,2.514316e-03,-3.989786e-03,-2.398638e-03,5.08251e-03,-2.057106e-03,3.615464e-03,-2.941839e-03,-2.358519e-03,-5.441536e-03,-1.590434e-03,-1.772134e-03,-5.799084e-04,2.451993e-03,1.773677e-03,-3.16941e-03,-2.148345e-03,1.635882e-03,2.546335e-04
"Uk","GB0000811801","Barratt Developments",9939437000.00,"UNITED KINGDOM","GBP","Consumer Durables",2.77770099368263e-03,0.02,0.03,9.267119e-04,-4.085819e-03,6.482239e-03,-4.856891e-03,4.724492e-04,-5.994245e-03,-2.363792e-03,2.005147e-03,-6.951334e-03,-3.069344e-03,6.491458e-03,4.01185e-03,5.12259e-04,1.084774e-03,-3.461119e-03,2.07636e-03,-2.420372e-04,9.439332e-04,3.907371e-04
"Uk","GB00BBG9VN75","AVEVA Group",9757078000.00,"UNITED KINGDOM","GBP","Technology Services",8.64966517747504e-03,0.01,-4.088757e-03,2.228384e-03,-3.237594e-03,1.624197e-03,-4.292836e-03,-1.853704e-03,4.475977e-03,-5.953819e-03,4.557798e-03,-7.263991e-04,-5.799346e-03,-1.366582e-04,3.227997e-03,-1.892902e-03,3.083004e-03,8.717548e-04,-4.592826e-03,5.870432e-03,-5.188655e-03,1.045485e-03
"Uk","GB00BYW0PQ60","Land Secs Group",9249724000.00,"UNITED KINGDOM","GBP","Finance",4.67945474220669e-04,0.01,0.01,-4.963465e-03,-5.12313e-03,3.948515e-03,1.681161e-03,-1.389919e-03,-6.221791e-03,2.257427e-03,-1.908657e-04,4.279724e-03,1.771727e-03,-5.154375e-03,-1.97021e-04,-2.472937e-03,-1.692192e-03,5.138532e-05,-1.874967e-03,7.526077e-04,-4.249051e-04,2.302631e-04
"Uk","IE00BWT6H894","Flutter Entertainment",9122923000.00,"UNITED KINGDOM","GBP","Consumer Services",8.89204153469768e-05,0.01,3.717318e-03,3.793837e-03,-4.319342e-03,-3.826712e-04,-9.038714e-03,2.055143e-03,-1.67122e-03,1.315652e-05,-3.288517e-03,2.056867e-03,-2.800308e-03,2.366649e-03,7.60963e-04,-1.130542e-03,-6.899323e-03,8.027632e-03,2.466307e-03,1.61831e-04,4.409672e-03,1.290991e-03
"Uk","GB00B0744B38","Bunzl",9094940000.00,"UNITED KINGDOM","GBP","Distribution Services",8.35715035927299e-04,9.8584e-03,-9.975533e-03,-1.310282e-03,-8.715819e-03,-1.514715e-04,-5.465636e-03,5.626849e-04,2.464096e-03,-3.424948e-03,-3.915499e-03,5.861722e-04,1.81369e-03,-2.779666e-03,-4.045785e-03,1.292528e-03,-1.547804e-03,-6.18067e-04,-3.078296e-03,3.347239e-03,-1.022486e-03,2.962477e-04
"Uk","GB00B1WY2338","Smiths Group",8788148000.00,"UNITED KINGDOM","GBP","Producer Manufacturing",3.33898660337725e-03,0.01,-4.243171e-03,-5.079945e-03,-1.570539e-03,-1.58529e-03,-3.917516e-03,2.81765e-03,1.257925e-03,-1.162139e-03,-1.673564e-03,-2.612511e-03,1.686233e-03,-6.238802e-04,-2.2913e-03,3.070361e-03,1.61764e-04,8.967742e-04,-1.551332e-03,-3.163718e-04,-2.90716e-03,3.42236e-04
"Uk","GB00B02J6398","Admiral Group",8690985000.00,"UNITED KINGDOM","GBP","Finance",2.55654297745939e-03,0.01,2.132857e-03,-1.123573e-03,-1.973111e-03,-1.016039e-04,1.654606e-03,5.231625e-04,8.082162e-04,3.047164e-03,-4.870036e-03,-2.316949e-03,3.171331e-03,1.685385e-03,-4.357355e-03,1.717066e-03,2.949119e-03,-1.880876e-04,-3.546789e-03,-6.141649e-04,8.602618e-03,3.908296e-04
"Uk","GB00BWFGQN14","Spirax-Sarco Engineering",8637184000.00,"UNITED KINGDOM","GBP","Producer Manufacturing",5.78212397284511e-03,0.01,-9.604175e-03,-2.043471e-04,-1.526257e-03,-8.287205e-04,-8.453305e-03,1.639471e-03,7.32595e-03,-3.216017e-03,-2.49121e-03,-1.091726e-04,2.236979e-03,2.094315e-04,8.714266e-04,5.34342e-04,1.775561e-03,-3.413071e-03,-2.82491e-03,-3.334222e-04,2.77738e-03,4.092401e-04
"Uk","GB00B1KJJ408","Whitbread",8516055000.00,"UNITED KINGDOM","GBP","Consumer Services",1.53547953235712e-03,0.01,0.01,-2.438645e-03,-4.864377e-03,-3.467234e-03,-4.598391e-04,-3.625788e-04,-2.82767e-04,-2.234871e-03,1.018106e-03,1.008102e-03,-5.884156e-03,5.521828e-04,1.420481e-03,-5.769058e-04,-4.982824e-03,-8.097938e-04,1.184931e-03,2.428254e-03,-6.704804e-05,7.216022e-04
"Uk","GB00B39J2M42","United Utilities Group",8486925000.00,"UNITED KINGDOM","GBP","Utilities",1.04766807252215e-03,6.222064e-03,-1.463946e-03,-1.346995e-03,-0.01,5.158704e-04,0.01,-4.540299e-03,-2.694518e-03,-7.055533e-03,-3.211294e-03,1.830367e-04,1.938306e-05,3.644948e-03,-2.797537e-03,-2.471187e-03,2.712558e-03,7.88599e-04,3.747387e-04,3.152349e-04,-3.79797e-03,2.54725e-04
"Uk","IE0002424939","DCC",8416512000.00,"UNITED KINGDOM","GBP","Producer Manufacturing",1.07948509354146e-03,0.01,-4.923963e-03,7.356169e-04,-5.070135e-03,-6.991528e-04,-5.180739e-03,-4.055328e-04,2.665967e-03,-1.874848e-03,-1.239596e-04,-1.533422e-03,2.351194e-03,9.405814e-04,1.423591e-03,-1.428447e-04,3.724426e-03,-2.360708e-03,-2.993259e-03,-2.980946e-04,1.998389e-03,4.345365e-04
"Uk","GB0008782301","Taylor Wimpey",8295571000.00,"UNITED KINGDOM","GBP","Consumer Durables",1.97032151561291e-03,0.02,0.03,-1.188622e-03,-3.119e-03,2.301986e-03,-6.404576e-03,-1.318782e-03,-6.473506e-03,-2.807671e-03,1.090679e-03,-7.255014e-03,-3.221688e-04,4.691444e-03,2.985992e-03,-2.520876e-03,2.769769e-05,-2.083994e-03,1.848204e-03,2.347126e-03,7.261339e-04,3.443974e-04
"Uk","GB0007669376","St James's Place",8242704000.00,"UNITED KINGDOM","GBP","Finance",2.14353673724201e-03,0.02,0.01,-3.418464e-03,9.837853e-04,-2.325471e-03,-1.510757e-03,3.303704e-03,1.568463e-04,5.462624e-03,-5.083006e-03,1.063927e-04,4.305618e-03,-4.03001e-03,-1.021519e-03,3.043412e-03,2.483477e-03,5.869429e-04,2.178156e-03,-3.785391e-03,3.181924e-03,3.509866e-04
"Uk","GB00BJFFLV09","Croda Intl",8228095000.00,"UNITED KINGDOM","GBP","Process Industries",3.08956203544816e-03,0.01,-0.01,3.766626e-03,-1.600359e-03,-9.541818e-04,-6.256654e-03,-2.923723e-04,4.130386e-03,-3.616888e-04,-2.847652e-03,-2.598438e-03,1.613756e-03,-2.949392e-03,-3.40324e-03,-1.692305e-03,-2.89149e-03,-3.325107e-03,-1.885643e-03,1.588566e-03,-2.814529e-05,2.85138e-04
"Uk","GB00B02L3W35","Berkeley Group Holdings",8169629000.00,"UNITED KINGDOM","GBP","Consumer Durables",2.61107888911929e-03,0.02,0.02,-1.560696e-03,-6.237614e-03,1.644748e-03,-6.101588e-03,2.157318e-03,-5.495156e-03,-2.070965e-03,1.342809e-03,-7.504152e-03,-1.69052e-03,6.590047e-03,5.979712e-03,-5.236246e-04,-5.61923e-04,-2.887855e-05,2.763759e-03,5.278024e-04,2.766289e-04,4.402135e-04
"Uk","GB0031215220","Carnival",7988293000.00,"UNITED KINGDOM","GBP","Consumer Services",7.30892159259885e-04,0.01,-2.505371e-03,5.918358e-03,1.288392e-03,-3.839695e-03,-6.81236e-03,8.007387e-03,-5.385046e-03,1.315327e-03,2.299144e-03,4.156188e-03,-8.532983e-04,3.610992e-04,-5.653567e-03,9.297065e-04,-3.390232e-03,-1.298257e-03,6.877085e-05,1.896001e-03,-3.095363e-04,7.580884e-04
"Uk","GB0033986497","ITV",7971343000.00,"UNITED KINGDOM","GBP","Consumer Services",-1.28662173050339e-03,0.02,0.01,2.248213e-03,-4.238015e-03,-4.9286e-03,-4.284391e-04,1.093288e-03,-1.580554e-03,-5.043841e-03,-2.601767e-03,2.129318e-03,-2.222164e-03,-2.719141e-03,-1.033997e-03,-1.023518e-03,1.590018e-03,3.38338e-03,9.432089e-04,2.819935e-03,-7.17231e-04,7.969829e-04
"Uk","GB00BKFB1C65","M&G",7952111000.00,"UNITED KINGDOM","GBP","Finance",-5.4653739437197e-05,0.02,6.52145e-03,2.250155e-03,-7.751138e-04,-4.110444e-03,2.779345e-03,-4.073198e-03,7.347211e-03,5.608306e-03,-5.159581e-03,-1.018369e-03,-1.295144e-03,-6.672611e-03,-1.878565e-03,5.688177e-03,4.671557e-03,3.909222e-03,-9.35604e-04,2.834732e-03,-3.50318e-03,2.511423e-03
"Uk","GB00B1FH8J72","Severn Trent",7850163000.00,"UNITED KINGDOM","GBP","Utilities",1.71844358723884e-03,6.812206e-03,-1.531749e-03,6.47639e-05,-0.01,-5.118866e-04,9.50653e-03,-4.792326e-03,-3.546582e-03,-5.39683e-03,-2.498511e-03,-2.72871e-04,3.389822e-04,4.069462e-03,-1.120641e-03,-2.210662e-03,3.088527e-03,1.496771e-03,-6.014773e-04,-1.633957e-04,-3.283376e-03,2.493817e-04
"Uk","GB00B71N6K86","EVRAZ",7712613000.00,"UNITED KINGDOM","GBP","Non-Energy Minerals",0.01,0.02,-0.01,-0.02,0.01,3.042894e-03,-4.823887e-03,-0.01,7.958274e-03,-3.254153e-04,4.773712e-03,1.75901e-03,1.2982e-03,7.071111e-03,-2.437077e-03,-4.480105e-03,3.934387e-03,1.113577e-03,-6.991116e-03,-3.732319e-03,9.718301e-04,2.594808e-03
"Uk","GB00BZ4BQC70","Johnson Matthey",7649739000.00,"UNITED KINGDOM","GBP","Process Industries",1.59023797920256e-03,0.02,-3.368485e-03,-4.917165e-03,4.53392e-03,-2.189459e-03,-3.621018e-03,-1.254627e-03,1.393368e-03,-5.624908e-03,-1.548085e-03,-3.372895e-03,1.836556e-03,-1.542007e-03,1.285163e-03,-9.769936e-04,-3.812671e-03,6.514607e-03,-4.357188e-03,3.369241e-03,-3.652878e-03,6.407266e-04
"Uk","GB00BKKMKR23","RSA Insurance Group",7551334000.00,"UNITED KINGDOM","GBP","Finance",2.19002375696559e-03,0.01,4.701613e-05,-3.144877e-03,-2.464184e-03,-2.837656e-03,6.718287e-04,4.847188e-03,-6.84883e-04,2.311571e-03,-5.688525e-03,1.440268e-03,-3.008914e-03,-6.822629e-04,-6.847643e-04,6.51487e-04,2.126487e-04,-3.269466e-03,-4.158122e-03,4.481762e-04,3.715979e-03,3.182286e-04
"Uk","DE000TUAG000","TUI",7528169000.00,"UNITED KINGDOM","GBP","Consumer Services",4.05645338491893e-04,0.02,0.01,1.476188e-05,-2.779787e-03,-6.233267e-03,-5.197583e-03,-3.402994e-03,-2.715684e-03,1.109337e-05,-6.023468e-03,3.410769e-04,-2.350514e-03,-2.362822e-03,-1.639155e-03,-6.31542e-03,4.609855e-04,3.240795e-03,1.791322e-03,-3.955384e-03,8.228189e-04,1.237937e-03
"Uk","GB00B7KR2P84","easyJet",7419235000.00,"UNITED KINGDOM","GBP","Transportation",4.22053321717863e-04,0.02,0.02,-6.737592e-04,3.247428e-04,-5.989516e-03,-5.161139e-03,-6.952474e-04,-0.01,3.946689e-03,-7.019766e-03,-2.497487e-03,-3.359659e-03,-9.702719e-04,-4.73033e-03,-7.703873e-03,1.249534e-03,4.523071e-03,2.451198e-03,-5.085277e-03,-5.075634e-03,1.295675e-03
"Uk","GB0001367019","British Land",7301096000.00,"UNITED KINGDOM","GBP","Finance",2.63776215620961e-04,0.01,0.01,-4.909418e-03,-3.791668e-03,1.5673e-03,-1.494613e-03,-2.169395e-03,-7.077002e-03,2.66216e-03,1.141812e-03,4.349376e-03,2.438419e-03,-4.922054e-03,-5.342158e-04,-2.405689e-03,-9.821734e-04,7.577654e-04,-3.805012e-04,6.030114e-04,7.006925e-04,2.324957e-04
"Uk","GB00BGDT3G23","Rightmove",7293290000.00,"UNITED KINGDOM","GBP","Technology Services",3.00200133656811e-03,0.01,0.01,3.590486e-03,-5.496995e-03,7.465541e-03,-2.732318e-03,1.197855e-03,6.419184e-03,-2.420094e-03,2.614324e-03,7.081295e-04,-3.575526e-03,9.15041e-04,-4.077372e-04,-3.678717e-04,3.555844e-03,-3.273867e-03,7.15653e-04,2.717566e-03,-8.326992e-04,4.193839e-04
"Uk","JE00B6T5S470","Polymetal Intl",7221351000.00,"UNITED KINGDOM","GBP","Non-Energy Minerals",3.998505268543e-03,-3.638578e-04,-0.01,-9.521462e-03,-0.01,8.001536e-03,-5.582835e-03,-0.01,1.674177e-03,1.676709e-04,-1.598895e-03,2.461312e-03,-6.34822e-03,-7.272582e-04,9.562261e-04,1.291621e-03,-2.230291e-03,5.589518e-03,3.472342e-03,-8.055898e-04,6.425885e-03,1.00212e-03
"Uk","GB00BKX5CN86","JUST EAT",7165497000.00,"UNITED KINGDOM","GBP","Retail Trade",3.86974329913795e-03,0.01,5.727176e-04,4.162985e-03,-2.946426e-03,4.59651e-05,-5.932229e-03,-7.992602e-04,7.376618e-03,-1.326374e-03,3.944792e-03,6.557327e-03,-4.097794e-03,4.059941e-03,-5.017505e-03,1.6801e-03,-1.0386e-03,5.688786e-03,3.380269e-03,-6.786949e-04,-3.322629e-03,1.757683e-03
"Uk","GB00BVYVFW23","Auto Trader Group",7140132000.00,"UNITED KINGDOM","GBP","Commercial Services",2.55156099858389e-03,0.01,0.01,2.828782e-03,-3.270976e-03,1.831772e-03,-1.006337e-04,-2.710206e-03,7.129134e-03,-1.771573e-03,1.957654e-03,1.764572e-03,-4.876036e-04,2.027953e-03,-3.979011e-03,2.373872e-03,5.047983e-03,-3.514935e-03,-2.736728e-03,3.589408e-03,-5.552274e-03,8.410264e-04
"Uk","GB00BGXQNP29","Phoenix Group Holdings",7080687000.00,"UNITED KINGDOM","GBP","Finance",2.16953915996691e-03,0.01,7.304402e-03,-1.11544e-03,6.092185e-04,-2.709381e-03,-1.313433e-03,3.032308e-03,-4.440017e-03,-7.338103e-04,-3.467825e-03,-2.671223e-04,-8.938194e-04,7.187745e-04,-3.229589e-03,-1.959184e-03,8.731827e-05,-1.808373e-03,-6.812162e-04,-1.037734e-03,1.921593e-03,2.449634e-04
"Uk","GB0008220112","DS Smith",7067801000.00,"UNITED KINGDOM","GBP","Process Industries",1.23116466223532e-03,0.02,-4.069407e-03,-2.180519e-03,2.645178e-03,-1.315035e-03,-7.026392e-03,2.907505e-03,1.769646e-03,-6.487803e-03,-7.171404e-03,-1.176319e-03,4.189336e-03,-4.09135e-03,1.755709e-04,-1.783861e-03,1.856167e-04,2.769624e-04,-3.753483e-03,1.541939e-04,-1.12664e-03,5.006514e-04
"Uk","GB00B033F229","Centrica",6830493000.00,"UNITED KINGDOM","GBP","Utilities",-2.31951617849707e-03,0.01,4.894201e-04,-6.709531e-03,-5.389064e-03,-2.700145e-03,9.204414e-03,-7.135951e-03,-3.20723e-03,-4.958857e-03,-2.557021e-03,-2.366679e-04,8.367622e-03,2.174087e-04,-6.378049e-04,1.340567e-03,2.805087e-03,-9.738831e-04,-2.752982e-03,3.482779e-03,-1.981023e-03,8.685986e-04
"Uk","GB00B019KW72","J Sainsbury",6712852000.00,"UNITED KINGDOM","GBP","Retail Trade",2.6747314548906e-04,0.01,7.139273e-03,-2.734868e-03,-3.768109e-03,4.108589e-04,7.516617e-03,-8.035441e-05,-3.712789e-03,-1.149878e-03,-7.682452e-04,1.122795e-03,-3.050555e-03,-4.322522e-03,-1.648623e-03,1.438453e-03,3.082746e-04,-3.977941e-03,4.149159e-03,5.467546e-04,1.402881e-03,7.302534e-04
"Uk","GB0006776081","Pearson",6695811000.00,"UNITED KINGDOM","GBP","Consumer Services",-2.01777355391451e-04,0.01,-8.638594e-03,-3.146311e-03,-4.896235e-03,-1.076224e-03,8.893542e-04,0.01,1.234626e-03,2.298682e-03,2.148798e-03,1.276084e-03,4.803268e-03,-5.215355e-03,6.166611e-05,-4.269893e-03,-3.798804e-03,1.268193e-03,-6.55769e-04,8.030226e-03,6.352182e-03,1.447608e-03
"Uk","IM00B5VQMV65","GVC Holdings",6613784000.00,"UNITED KINGDOM","GBP","Consumer Services",4.00153277833285e-03,0.01,2.816493e-03,1.701784e-03,-4.483989e-03,-2.938802e-04,-5.856219e-03,1.473617e-03,-1.169207e-03,-8.271858e-03,-6.987889e-03,3.969933e-03,-2.658443e-03,-1.081672e-03,-5.827727e-03,-4.890367e-04,-7.939738e-04,7.599015e-03,5.709956e-06,-5.926118e-03,7.235162e-03,1.312455e-03
"Uk","GB0005758098","Meggitt",6528470000.00,"UNITED KINGDOM","GBP","Electronic Technology",3.14602516023732e-03,0.01,-4.71012e-03,-4.649842e-04,-3.769879e-03,-2.512054e-03,-4.481752e-03,4.415621e-03,6.458817e-03,-2.806685e-04,-3.407867e-04,-1.077871e-03,-3.631292e-04,-3.780261e-03,-8.127586e-04,-2.620439e-04,-1.477014e-03,6.242845e-03,1.534218e-03,3.063001e-03,-2.625519e-03,5.692586e-04
"Uk","GB00B0LCW083","Hikma Pharmaceuticals",6291944000.00,"UNITED KINGDOM","GBP","Health Technology",5.26023680492733e-04,5.617765e-03,-7.683386e-03,2.917277e-03,-0.01,-2.494131e-03,-4.661871e-03,2.026195e-03,3.588012e-03,1.546903e-03,3.466426e-03,2.680974e-03,4.86115e-03,3.355874e-03,-4.318726e-03,-2.46858e-03,-1.835369e-03,4.682222e-03,-1.057426e-04,-2.136793e-03,4.427124e-03,2.004686e-03
"Uk","GB0006043169","Wm Morrison Supermarkets",6254321000.00,"UNITED KINGDOM","GBP","Retail Trade",1.25955852131714e-03,0.01,3.97848e-03,-1.988568e-03,-4.166315e-03,2.2271e-03,4.067206e-03,2.750917e-03,-4.098402e-03,-7.559232e-04,-9.238683e-04,1.519181e-03,-1.058558e-03,-5.985372e-04,-1.444818e-03,-1.000046e-04,9.211124e-05,-4.445735e-03,2.7649e-03,4.57123e-03,2.930462e-03,4.07797e-04
"Uk","GB0000904986","Bellway",6085201000.00,"UNITED KINGDOM","GBP","Consumer Durables",2.74144124848871e-03,0.02,0.02,1.118306e-03,-3.274165e-03,1.514594e-03,-8.166609e-03,-6.308003e-04,-7.124635e-03,-2.515559e-03,1.567733e-03,-7.903327e-03,-2.423931e-03,4.85413e-03,6.141882e-03,-6.938197e-04,-3.436645e-03,-3.074032e-03,1.964322e-03,6.815108e-04,2.347097e-03,3.472315e-04
